2 46 21 606 2 561 21 4575 56 0 28 404 379 724 283 106 3 416 504 13 345 685 3 4112 6216 56 0 8971 247 3914 1 0 44 28 10 291 11 24 2086 4 44 2 7 3750 32 8 13 3751 5 46 21 34 11 96 119 126 12 123 41 768 5 18 169 82 12 137 4 792 56 0 145 203 247 372 12 1809 126 80 283 15 2 76 16 28 1 2 70 21 107 5 78 3 352 186 4 85 14 0 8971 17 1866 48 368 488 1 17 1866 83 122 5687 86 11 81 5688 247 703 38 3 489 45 955 1866 114 3236 114 2934 114 7793 0 247 17 112 33 8 1217 0 90 15 2 1685 13 345 10 172 377 136 4 498 3 2661 6 488 27 11 2 46 0 276 247 29 202 551 61 6884 175 607 4113 519 182 35 380 943 64 20 844 117 0 730 1 7794 58 2 74 1608 46 21 161 4 98 40 0 628 185 	5
90 1008 4 51 4 2047 18 25 4114 1 3752 17 479 405 1155 191 12 47 199 1025 6 1035 40 6 0 652 11 17 479 1 44 352 751 6 0 282 222 273 1035 963 8 267 0 513 6 283 62 646 14 62 2212 37 12 123 3 3753 644 17 118 596 273 963 187 199 18 277 9 1867 20 111 19 3 1193 120 92 3027 1 100 128 1426 6 222 0 128 862 6 0 1035 64 31 518 1025 9 255 11 46 21 1931 1 3 522 6 1382 0 875 135 40 4 56 533 11 18 3 79 106 1531 456 641 1272 631 218 477 17 22 6217 1497 307 168 7 41 350 2 67 114 24 2087 152 1 17 130 13 155 33 270 2311 2 160 240 12 139 10 2178 37 5 18 9 48 405 1155 19 3237 8972 45 23 17 67 94 35 30 1 2 72 34 63 	5
111 43 1258 14 0 6885 1 345 16 28 8 0 352 5248 475 5248 1766 743 836 20 490 11 5 7 0 4576 3361 43 19 452 9 356 10 2048 1083 1399 25 683 612 0 580 191 12 105 62 183 20 425 14 0 948 1382 523 624 1 2 829 0 5689 95 14 1312 213 554 1383 24 57 397 205 14 2935 11 7 42 209 345 24 0 787 3620 14 6218 2 384 168 1 38 0 30 7 131 33 31 69 42 738 1 618 207 1 222 1810 33 8 61 1532 109 11 3362 1313 5690 32 80 32 57 213 385 33 8 147 3 79 674 10 0 63 2362 380 1111 807 49 3238 3116 1111 807 1009 32 80 32 647 2418 1168 1 81 300 2 491 240 3 555 4 4325 674 9 3 148 202 429 183 	5
2 400 34 2851 1 1314 11 16 8 23 3 204 1026 208 2 1839 4 107 0 208 8 3 26 28 10 3 4115 9 744 565 956 553 1 1121 1065 9 255 223 9 1251 1065 414 22 4 51 1498 10 3 4115 5 8 35 1628 14 380 1282 16 208 46 2747 	3
1043 76 16 208 22 65 3 2088 9 6219 15 7 42 421 14 0 1283 121 1084 89 197 510 10 1427 18 1218 91 78 868 390 58 3028 305 89 11 159 33 762 21 144 2312 19 0 1259 38 5691 18 31 1608 40 6 3 2 167 238 19 128 566 1741 29 48 208 12 632 4 426 39 11 62 185 1608 245 976 857 1427 18 10 7795 373 52 5 18 1967 3117 297 16 7 92 91 18 305 89 17 167 41 7796 38 48 2003 385 4 5249 0 1209 153 114 684 4 444 0 81 208 321 83 4 1363 3 5250 9 39 465 91 3363 38 5691 18 31 1608 40 6 0 700 8973 970 1112 0 1259 68 1194 763 4116 333 2 1563 11 0 1259 1629 21 3486 700 3754 19 0 276 153 2 167 238 19 0 4326 29 48 208 3487 4 164 5 226 22 3486 50 19 0 1259 3754 91 147 3363 38 799 31 1608 40 114 503 2 844 5 1315 49 44 6 62 5692 1 5 7 1195 75 	2
102 117 130 3 1441 1 529 4 34 587 184 4 0 577 203 4117 42 1667 23 4 977 5 7 3117 297 11 153 2 256 4 34 587 1498 15 0 3118 1811 7 11 16 7 38 11 7 683 919 4 1716 80 2 130 1441 15 91 41 130 198 1811 11 20 480 4 34 3 1442 546 4 409 1498 2 442 5 133 210 68 82 13 319 1767 48 475 2 70 21 	2
4577 665 2936 1260 4 128 140 210 571 0 200 25 42 26 1 0 113 7 42 108 295 39 495 14 57 6220 0 418 7 148 1 209 32 10 254 31 352 896 140 220 504 793 19 0 381 31 69 148 1 971 2 24 3 382 665 3 2748 665 875 56 199 533 0 382 7 331 15 0 2748 7 93 2 4118 0 459 113 876 4 3 390 1 262 40 11 17 112 410 6 0 1717 928 43 11 18 126 236 660 9 119 45 1236 4327 	3
80 71 4119 9 0 2937 177 58 1129 200 571 3754 1 41 338 177 155 82 0 208 3755 1364 16 620 2 22 114 4120 9 0 28 27 2 160 344 21 725 5 292 37 62 223 9 57 331 4885 3364 29 1499 1967 117 118 16 8 62 620 4 51 156 206 1 34 5251 13 246 	1
20 406 1027 0 145 97 149 215 128 248 92 0 6886 18 1400 5 8 270 169 125 1237 0 145 6886 18 534 1 1428 36 0 2179 6221 97 48 58 8 35 20 100 3 129 1 138 2 226 22 1219 119 4 105 3 129 49 3 145 1968 398 97 872 645 142 14 145 1968 686 1 1261 5 470 63 3119 6 2749 14 13 4121 8974 1333 45 7 0 119 2750 645 142 	3
29 4578 3 555 4 9 54 246 1644 379 248 63 2662 89 4 492 1 0 6 198 528 6 2049 0 277 5693 6 1 6222 884 54 246 25 147 752 3488 248 525 15 125 13 203 877 22 9 0 6 3 79 1609 1 1352 3756 49 13 221 1036 76 2 22 49 0 203 492 1868 901 9 4886 18 82 5 18 169 1 59 1969 10 540 4328 10 540 445 3 145 7797 529 4329 492 10 603 2663 430 430 430 2 67 94 4329 492 10 13 3915 2 238 0 213 326 492 201 1 0 4887 492 2180 1 0 282 130 224 168 7 1294 1 2 150 34 63 4 98 0 719 0 97 8 3 559 242 4888 1429 271 6 3 133 4122 911 14 3 132 374 309 1 3 492 108 327 3239 5 18 2751 1 5 18 1630 51 1104 98 5 12 41 414 1549 10 76 	5
